feature,importance
hsa-mir-33a,63.3919938308
hsa-mir-18b,63.1589695527
hsa-mir-518b,63.1099519484
hsa-mir-1323,63.0502520423
hsa-mir-3136,62.8106541531
hsa-mir-3938,62.401835329
hsa-mir-516a-1,62.3126017848
hsa-mir-3158-2,61.5539736164
hsa-mir-548f-4,61.5415990455
hsa-mir-3679,61.1948413808
hsa-mir-519d,60.9532151846
hsa-mir-320d-1,60.8477992768
hsa-mir-1537,60.3713569912
hsa-mir-1291,60.0816205579
hsa-mir-607,59.8290168286
hsa-mir-3614,59.7702157225
hsa-mir-3192,59.7622200018
hsa-mir-3676,59.6806041557
hsa-mir-670,58.2607003559
hsa-mir-3190,58.1009180272
hsa-mir-1276,58.0879992263
hsa-mir-3184,57.8276733593
hsa-mir-519b,57.4417458467
hsa-mir-526a-1,57.0371550229
hsa-mir-1275,57.0088135505
hsa-mir-2355,56.8777411791
hsa-mir-302e,56.8088095552
hsa-mir-3620,56.7936802093
hsa-mir-518d,56.7111878031
hsa-mir-218-1,56.266999455
hsa-mir-3130-2,56.2089262071
hsa-mir-320d-2,56.0196146817
hsa-mir-206,55.9050974605
hsa-mir-519e,55.8280266705
hsa-mir-3688,55.3643415799
hsa-mir-1225,55.2228484046
hsa-mir-521-2,55.1892417077
hsa-mir-527,54.5673096892
hsa-mir-577,54.2807101221
hsa-mir-33b,53.6167094034
hsa-mir-876,53.3203290695
hsa-mir-3177,53.002900419
hsa-mir-449a,52.9953271848
hsa-mir-520d,52.8592081894
hsa-mir-3117,52.5660955206
hsa-mir-196a-2,52.422012268
hsa-mir-3176,52.218315042
hsa-mir-133b,52.1315543877
hsa-mir-2276,51.9315949315
hsa-mir-548s,51.7365695826
hsa-mir-3143,51.4764968323
hsa-mir-212,51.3735820764
hsa-mir-4254,51.2398694348
hsa-mir-23c,51.0608094711
hsa-mir-3677,50.7492080648
hsa-mir-3152,50.4806534379
hsa-mir-3622b,50.4332652357
hsa-mir-3907,50.4069445227
hsa-mir-133a-2,50.222178703
hsa-mir-449c,50.047345593
hsa-mir-551b,49.9985539659
hsa-mir-518a-2,49.9700242382
hsa-mir-449b,49.6006117289
hsa-mir-582,49.5290942613
hsa-mir-522,49.2004763879
hsa-mir-3150b,49.0165934216
hsa-mir-518a-1,48.8236864951
